"SaID","AccID","Longitude","Latitude","ASV37_bacteria_rhizosphere_CK_pred","ASV37_bacteria_rhizosphere_LN_pred","ASV37_bacteria_rhizosphere_LP_pred","ASV37_bacteria_root_CK_pred","ASV37_bacteria_root_LN_pred","ASV37_bacteria_root_LP_pred","ASV7_bacteria_rhizosphere_CK_pred","ASV7_bacteria_rhizosphere_LN_pred","ASV7_bacteria_root_D_pred","ASV7_bacteria_root_LN_pred"
"SEEDGWAS686","CIMMYTMA-000411",-98.927143,22.953007,269.9334633,384.0775786,263.3149398,71.9820993,70.91769908,82.24248348,533.7335149,805.2523116,533.7271553,819.4315141
"SEEDGWAS3998","CIMMYTMA-017936",-99.46666667,24.25,280.1600173,384.0775367,263.3149576,71.51423427,81.72714447,82.18638679,494.6907948,800.4798039,563.4298022,798.4421148
"SEEDGWAS3830","CIMMYTMA-002315",-99.10357,23.711674,283.0996799,384.077544,263.3149578,71.48433232,79.9445138,82.1295546,448.9225875,784.6120394,557.0404957,812.5515829
"SEEDGWAS3174","CIMMYTMA-000651",-99.278792,22.770949,269.9040037,384.0775369,263.3149881,70.78108692,77.14882715,83.69117883,464.2807412,787.6830412,535.1873223,853.1926597
"SEEDGWAS1267","CIMMYTMA-002319",-99.614777,26.888903,265.5899902,384.0776279,263.3149672,74.70927189,85.85663887,83.55459711,447.0674931,816.5233843,543.6643284,820.9990958
"SEEDGWAS1823","CIMMYTMA-018921",-99,23.91666667,283.4922727,384.0775773,263.3149497,70.81840136,79.34034803,82.25104574,475.4797369,812.4389116,538.8829439,822.2395851
"SEEDGWAS3804","CIMMYTMA-000416",-99.318806,22.846632,270.7617516,384.0775365,263.3149855,70.81840136,77.43098132,82.40812594,464.4324544,787.8250317,548.9514898,854.7038809
"SEEDGWAS3824","CIMMYTMA-001949",-99.318806,22.846632,270.7617516,384.0775365,263.3149855,70.81840136,77.43098132,82.40812594,464.4324544,787.8250317,548.9514898,854.7038809
"SEEDGWAS2999","CIMMYTMA-019507",-97.9,19.2,275.719498,384.0775766,263.3149513,80.18089452,77.41554431,86.0279017,502.9660966,809.8853485,555.2231096,940.691217
"SEEDGWAS3096","CIMMYTMA-025130",-98.2,19.13333333,278.6248737,384.0775996,263.3149934,78.05011477,77.69224425,93.68955729,501.490927,803.8515,571.1415465,957.7671915
