,SaID,AccID,Longitude,Latitude,Ann.Prc,TN,PBR,,,,,,,,,,,,,,,,,,,,,,
115,SEEDGWAS1207,CIMMYTMA-001070,-89.367104,15.115625,1318,0.13,5.16,,,,,,,,,,,,,,,,,,,,,,
116,SEEDGWAS1208,CIMMYTMA-001073,-89.428169,14.762413,1000,0.14,7.02,,,,,,,,,,,,,,,,,,,,,,
117,SEEDGWAS1209,CIMMYTMA-001078,-90.637606,14.713922,1458,0.5,5.1,,,,,,,,,,,,,,,,,,,,,,
118,SEEDGWAS121,CIMMYTMA-002288,-98.8167,21.5667,1547,0.52,5.8,,,,,,,,,,,,,,,,,,,,,,
119,SEEDGWAS1210,CIMMYTMA-001079,-89.510475,14.908968,795,0.13,5.16,,,,,,,,,,,,,,,,,,,,,,
120,SEEDGWAS1211,CIMMYTMA-001096,-89.963493,14.94666,875,0.17,6.24,,,,,,,,,,,,,,,,,,,,,,
121,SEEDGWAS1212,CIMMYTMA-001098,-89.800183,14.940676,894,0.13,20.17,,,,,,,,,,,,,,,,,,,,,,
122,SEEDGWAS1215,CIMMYTMA-001195,-89.8,15.1,1348,0.17,6.24,,,,,,,,,,,,,,,,,,,,,,
123,SEEDGWAS1216,CIMMYTMA-001214,-89.41666667,14.95,2196,0.13,5.16,,,,,,,,,,,,,,,,,,,,,,
124,SEEDGWAS122,CIMMYTMA-002299,-98.746052,21.26317,1555,0.49,5.8,,,,,,,,,,,,,,,,,,,,,,
125,SEEDGWAS123,CIMMYTMA-002303,-99.015491,21.951043,1147,0.35,18.3,,,,,,,,,,,,,,,,,,,,,,
126,SEEDGWAS124,CIMMYTMA-002359,-89.484052,20.734106,989,0.66,5.68,,,,,,,,,,,,,,,,,,,,,,
127,SEEDGWAS125,CIMMYTMA-002362,-89.483888,20.734108,989,0.66,5.68,,,,,,,,,,,,,,,,,,,,,,
128,SEEDGWAS1254,CIMMYTMA-001742,-105.177805,21.847885,1474,0.18,11.11,,,,,,,,,,,,,,,,,,,,,,
129,SEEDGWAS1256,CIMMYTMA-001777,-92.0992225,15.984309,1079,0.23,9.59,,,,,,,,,,,,,,,,,,,,,,
130,SEEDGWAS1257,CIMMYTMA-001813,-89.579005,14.71581,947,0.13,7.02,,,,,,,,,,,,,,,,,,,,,,
131,SEEDGWAS1258,CIMMYTMA-001815,-89.718358,14.657373,957,0.16,7.02,,,,,,,,,,,,,,,,,,,,,,
132,SEEDGWAS1259,CIMMYTMA-001852,-89.533421,14.620613,1319,0.05,7.02,,,,,,,,,,,,,,,,,,,,,,
133,SEEDGWAS1260,CIMMYTMA-001855,-90.805464,14.786779,1246,0.5,9.92,,,,,,,,,,,,,,,,,,,,,,
134,SEEDGWAS1261,CIMMYTMA-001860,-91.15,14.383333,2798,0.34,12.24,,,,,,,,,,,,,,,,,,,,,,
135,SEEDGWAS1263,CIMMYTMA-001944,-98.416667,21.15,1454,0.49,5.8,,,,,,,,,,,,,,,,,,,,,,
136,SEEDGWAS1264,CIMMYTMA-002143,-92.21666667,15.7,1303,0.43,7.07,,,,,,,,,,,,,,,,,,,,,,
137,SEEDGWAS1265,CIMMYTMA-002163,-93.1,16.61666667,862,0.43,3.1,,,,,,,,,,,,,,,,,,,,,,
138,SEEDGWAS1266,CIMMYTMA-002252,-105.4666667,22.4,1257,0.14,12.03,,,,,,,,,,,,,,,,,,,,,,
139,SEEDGWAS1267,CIMMYTMA-002319,-99.614777,26.888903,464,0.06,7.21,,,,,,,,,,,,,,,,,,,,,,
140,SEEDGWAS1268,CIMMYTMA-002342,-96.9,18.85,1936,0.59,5.68,,,,,,,,,,,,,,,,,,,,,,
141,SEEDGWAS1293,CIMMYTMA-002545,-99.223726,24.015674,724,0.14,18.3,,,,,,,,,,,,,,,,,,,,,,
142,SEEDGWAS13,CIMMYTMA-000470,-97.113749,20.474435,1553,0.15,7.97,,,,,,,,,,,,,,,,,,,,,,
143,SEEDGWAS1303,CIMMYTMA-003264,-97.699529,21.320028,1404,0.15,3.46,,,,,,,,,,,,,,,,,,,,,,
144,SEEDGWAS1351,CIMMYTMA-003663,-87.891039,15.590506,1921,0.17,17.73,,,,,,,,,,,,,,,,,,,,,,
145,SEEDGWAS1352,CIMMYTMA-003664,-87.891039,15.590506,1921,0.17,9.65,,,,,,,,,,,,,,,,,,,,,,
146,SEEDGWAS1353,CIMMYTMA-003667,-88.016667,15.4,2808,0.17,12.24,,,,,,,,,,,,,,,,,,,,,,
147,SEEDGWAS1355,CIMMYTMA-003695,-86.088789,14.744943,1204,0.17,6.52,,,,,,,,,,,,,,,,,,,,,,
148,SEEDGWAS1357,CIMMYTMA-003701,-87.929345,15.380512,1905,0.17,7.62,,,,,,,,,,,,,,,,,,,,,,
